TEAM_ID,TEAM_NAME,Restricted_Area_FGM,Restricted_Area_FGA,Restricted_Area_FG_PCT,In_The_Paint_Non_RA_FGM,In_The_Paint_Non_RA_FGA,In_The_Paint_Non_RA_FG_PCT,Mid_Range_FGM,Mid_Range_FGA,Mid_Range_FG_PCT,Left_Corner_3_FGM,Left_Corner_3_FGA,Left_Corner_3_FG_PCT,Right_Corner_3_FGM,Right_Corner_3_FGA,Right_Corner_3_FG_PCT,Above_the_Break_3_FGM,Above_the_Break_3_FGA,Above_the_Break_3_FG_PCT,Backcourt_FGM,Backcourt_FGA,Backcourt_FG_PCT,Corner_3_FGM,Corner_3_FGA,Corner_3_FG_PCT,FTM,FTA,GP,MIN,POSS,Season
1610612737,Atlanta Hawks,293,461,0.636,64,196,0.327,88,254,0.346,18,51,0.353,20,54,0.37,107,352,0.304,0,1,0,38,105,0.362,243,311,16,778,1526,2015
1610612738,Boston Celtics,66,112,0.589,21,49,0.429,30,84,0.357,1,3,0.333,4,9,0.444,17,74,0.23,0,0,0,5,12,0.417,79,102,4,192,377,2015
1610612751,Brooklyn Nets,77,135,0.57,41,94,0.436,48,126,0.381,11,23,0.478,7,27,0.259,33,91,0.363,0,3,0,18,50,0.36,93,125,6,293,577,2015
1610612741,Chicago Bulls,180,335,0.537,43,123,0.35,88,252,0.349,21,39,0.538,10,24,0.417,78,226,0.345,1,6,0.167,31,63,0.492,200,258,12,586,1106,2015
1610612739,Cleveland Cavaliers,294,474,0.62,88,256,0.344,117,350,0.334,27,75,0.36,30,78,0.385,138,418,0.33,0,3,0,57,153,0.373,397,538,20,975,1857,2015
1610612742,Dallas Mavericks,91,138,0.659,31,86,0.36,48,114,0.421,5,18,0.278,5,11,0.455,28,90,0.311,0,3,0,10,29,0.345,96,126,5,240,514,2015
1610612744,Golden State Warriors,336,537,0.626,94,262,0.359,132,329,0.401,35,69,0.507,36,95,0.379,168,472,0.356,1,5,0.2,71,164,0.433,325,465,21,1023,2026,2015
1610612745,Houston Rockets,332,517,0.642,85,255,0.333,57,177,0.322,16,52,0.308,21,64,0.328,124,350,0.354,0,2,0,37,116,0.319,408,624,17,816,1735,2015
1610612746,Los Angeles Clippers,240,359,0.669,76,180,0.422,120,292,0.411,17,36,0.472,14,51,0.275,84,263,0.319,0,2,0,31,87,0.356,286,429,14,677,1399,2015
1610612763,Memphis Grizzlies,143,269,0.532,93,241,0.386,109,261,0.418,10,20,0.5,4,14,0.286,34,118,0.288,0,2,0,14,34,0.412,208,250,11,528,1025,2015
1610612749,Milwaukee Bucks,83,183,0.454,29,64,0.453,60,173,0.347,3,9,0.333,10,18,0.556,20,81,0.247,0,1,0,13,27,0.481,88,125,6,298,577,2015
1610612740,New Orleans Pelicans,57,106,0.538,26,53,0.491,42,93,0.452,0,3,0,0,7,0,27,75,0.36,0,0,0,0,10,0,72,89,4,197,389,2015
1610612757,Portland Trail Blazers,73,136,0.537,14,41,0.341,34,110,0.309,6,12,0.5,2,10,0.2,38,109,0.349,0,0,0,8,22,0.364,89,108,5,240,462,2015
1610612759,San Antonio Spurs,96,163,0.589,57,125,0.456,48,126,0.381,11,28,0.393,10,20,0.5,45,132,0.341,0,1,0,21,48,0.438,121,178,7,341,672,2015
1610612761,Toronto Raptors,61,95,0.642,29,75,0.387,27,83,0.325,5,17,0.294,4,12,0.333,21,69,0.304,0,2,0,9,29,0.31,61,85,4,197,391,2015
1610612764,Washington Wizards,160,279,0.573,41,111,0.369,78,222,0.351,16,41,0.39,11,20,0.55,67,171,0.392,0,1,0,27,61,0.443,171,237,10,485,963,2015
1610612737,Atlanta Hawks,171,295,0.58,45,94,0.479,44,141,0.312,10,36,0.278,12,30,0.4,84,252,0.333,0,0,0,22,66,0.333,163,205,10,485,970,2016
1610612738,Boston Celtics,105,205,0.512,19,42,0.452,30,101,0.297,9,24,0.375,7,23,0.304,36,141,0.255,0,1,0,16,47,0.34,99,126,6,293,597,2016
1610612766,Charlotte Hornets,101,202,0.5,43,112,0.384,39,119,0.328,5,12,0.417,0,6,0,35,111,0.315,0,1,0,5,18,0.278,146,174,7,336,640,2016
1610612739,Cleveland Cavaliers,330,545,0.606,76,195,0.39,141,342,0.412,40,92,0.435,46,97,0.474,172,442,0.389,0,4,0,86,189,0.455,332,458,21,1008,1919,2016
1610612742,Dallas Mavericks,75,129,0.581,24,57,0.421,47,113,0.416,7,18,0.389,0,5,0,24,82,0.293,0,2,0,7,23,0.304,84,121,5,240,461,2016
1610612765,Detroit Pistons,62,94,0.66,16,48,0.333,31,66,0.47,10,18,0.556,6,14,0.429,19,60,0.317,0,1,0,16,32,0.5,57,88,4,192,348,2016
1610612744,Golden State Warriors,368,624,0.59,114,290,0.393,146,363,0.402,28,79,0.354,46,100,0.46,232,590,0.393,0,9,0,74,179,0.413,411,559,24,1157,2357,2016
1610612745,Houston Rockets,65,122,0.533,41,112,0.366,21,52,0.404,5,20,0.25,6,22,0.273,27,97,0.278,0,3,0,11,42,0.262,88,137,5,240,499,2016
1610612754,Indiana Pacers,89,169,0.527,30,69,0.435,55,137,0.401,10,36,0.278,7,15,0.467,40,97,0.412,0,1,0,17,51,0.333,137,167,7,336,632,2016
1610612746,LA Clippers,93,142,0.655,34,94,0.362,62,157,0.395,2,8,0.25,2,9,0.222,29,95,0.305,0,1,0,4,17,0.235,110,176,6,288,575,2016
1610612763,Memphis Grizzlies,60,125,0.48,11,43,0.256,38,93,0.409,4,8,0.5,1,7,0.143,14,47,0.298,0,2,0,5,15,0.333,49,70,4,192,363,2016
1610612748,Miami Heat,202,321,0.629,100,220,0.455,118,317,0.372,16,49,0.327,23,50,0.46,57,165,0.345,0,5,0,39,99,0.394,228,298,14,687,1299,2016
1610612760,Oklahoma City Thunder,306,496,0.617,75,219,0.342,158,358,0.441,23,73,0.315,27,64,0.422,99,308,0.321,0,3,0,50,137,0.365,390,496,18,864,1721,2016
1610612757,Portland Trail Blazers,154,289,0.533,45,136,0.331,78,211,0.37,18,42,0.429,21,47,0.447,91,247,0.368,0,2,0,39,89,0.438,208,281,11,533,1087,2016
1610612759,San Antonio Spurs,148,250,0.592,53,127,0.417,104,257,0.405,15,31,0.484,17,32,0.531,50,126,0.397,0,2,0,32,63,0.508,164,205,10,480,929,2016
1610612761,Toronto Raptors,282,462,0.61,95,255,0.373,171,452,0.378,23,72,0.319,19,58,0.328,95,327,0.291,0,2,0,42,130,0.323,361,490,20,975,1837,2016
1610612737,Atlanta Hawks,106,187,0.567,32,65,0.492,37,91,0.407,6,13,0.462,3,16,0.188,41,135,0.304,0,0,0,9,29,0.31,133,174,6,288,590,2017
1610612738,Boston Celtics,317,512,0.619,64,140,0.457,81,241,0.336,24,64,0.375,32,77,0.416,173,476,0.363,0,3,0,56,141,0.397,283,366,18,869,1716,2017
1610612741,Chicago Bulls,100,167,0.599,31,72,0.431,45,115,0.391,6,26,0.231,3,15,0.2,33,99,0.333,0,1,0,9,41,0.22,101,119,6,288,559,2017
1610612739,Cleveland Cavaliers,303,470,0.645,73,164,0.445,105,251,0.418,52,111,0.468,27,67,0.403,177,430,0.412,0,1,0,79,178,0.444,362,472,18,864,1745,2017
1610612744,Golden State Warriors,305,457,0.667,72,157,0.459,137,306,0.448,30,55,0.545,19,57,0.333,166,434,0.382,0,11,0,49,112,0.438,352,432,17,816,1716,2017
1610612745,Houston Rockets,198,340,0.582,46,98,0.469,25,74,0.338,16,36,0.444,15,40,0.375,110,344,0.32,0,3,0,31,76,0.408,224,284,11,533,1076,2017
1610612754,Indiana Pacers,52,94,0.553,32,63,0.508,33,76,0.434,5,18,0.278,8,11,0.727,32,85,0.376,0,1,0,13,29,0.448,66,86,4,192,380,2017
1610612746,LA Clippers,117,167,0.701,30,80,0.375,51,128,0.398,8,15,0.533,6,19,0.316,41,121,0.339,0,4,0,14,34,0.412,117,168,7,336,634,2017
1610612763,Memphis Grizzlies,73,140,0.521,46,87,0.529,33,91,0.363,6,14,0.429,9,22,0.409,41,107,0.383,0,2,0,15,36,0.417,106,122,6,293,526,2017
1610612749,Milwaukee Bucks,97,169,0.574,19,66,0.288,39,103,0.379,9,18,0.5,8,23,0.348,37,89,0.416,0,0,0,17,41,0.415,87,125,6,288,541,2017
1610612760,Oklahoma City Thunder,94,160,0.588,19,52,0.365,38,90,0.422,4,12,0.333,3,13,0.231,35,107,0.327,0,3,0,7,25,0.28,93,135,5,240,496,2017
1610612757,Portland Trail Blazers,52,106,0.491,22,47,0.468,24,69,0.348,4,16,0.25,6,13,0.462,34,106,0.321,0,1,0,10,29,0.345,78,97,4,192,406,2017
1610612759,San Antonio Spurs,279,446,0.626,90,218,0.413,134,330,0.406,24,54,0.444,19,61,0.311,94,271,0.347,0,5,0,43,115,0.374,296,383,16,778,1518,2017
1610612761,Toronto Raptors,146,257,0.568,55,114,0.482,74,189,0.392,21,57,0.368,13,37,0.351,43,139,0.309,0,1,0,34,94,0.362,183,225,10,480,928,2017
1610612762,Utah Jazz,152,235,0.647,83,175,0.474,53,167,0.317,21,39,0.538,9,34,0.265,72,205,0.351,0,1,0,30,73,0.411,188,257,11,528,1023,2017
1610612764,Washington Wizards,215,364,0.591,75,160,0.469,122,271,0.45,13,43,0.302,11,34,0.324,85,262,0.324,0,5,0,24,77,0.312,254,320,13,629,1275,2017
